ID,pageName,quotationNumber,ddlState,userId,saveDateTime,LOB,Classification,
170581,AdditionalNamedInsuredDetails,QQ7668410000,NY,Nicholas,21:53.7,Businessowners,Water distribution,
170579,AdditionalNamedInsuredDetails,QQ7668410000,NY,Nicholas,21:45.7,Businessowners,Water distribution,
170578,AdditionalNamedInsuredDetails,QQ7668410000,NY,Nicholas,21:27.0,Businessowners,Water distribution,
170544,CAAdditionalNamedInsuredDetails,QQ3720010000,NJ,Jade,14:12.8,Commercial Auto,Personal Trainer,
170543,CAAdditionalNamedInsuredDetails,QQ3720010000,NJ,Jade,14:11.1,Commercial Auto,Personal Trainer,
170542,CAAdditionalNamedInsuredDetails,QQ3720010000,NJ,Jade,14:10.9,Commercial Auto,Personal Trainer,
170541,CAAdditionalNamedInsuredDetails,QQ3720010000,NJ,Jade,13:42.1,Commercial Auto,Personal Trainer,
170540,CAAdditionalNamedInsuredDetails,QQ3720010000,NY,Jade,13:28.9,Commercial Auto,Personal Trainer,
170502,AdditionalNamedInsuredDetails,QQ2695910000,DE,Lydia,03:04.8,Businessowners,Electric Motor Repair,
170501,AdditionalNamedInsuredDetails,QQ2695910000,DE,Lydia,03:03.8,Businessowners,Electric Motor Repair,
170500,AdditionalNamedInsuredDetails,QQ2695910000,DE,Lydia,02:36.7,Businessowners,Electric Motor Repair,
170499,AdditionalNamedInsuredDetails,QQ2695910000,NY,Lydia,02:19.5,Businessowners,Electric Motor Repair,
170498,AdditionalNamedInsuredDetails,QQ2695910000,NY,Lydia,02:19.1,Businessowners,Electric Motor Repair,
170476,CAAdditionalNamedInsuredDetails,QQ5870710000,CT,Hadley,47:34.4,Commercial Auto,Welding,
170475,CAAdditionalNamedInsuredDetails,QQ5870710000,CT,Hadley,47:33.1,Commercial Auto,Welding,
170474,CAAdditionalNamedInsuredDetails,QQ5870710000,CT,Hadley,47:27.4,Commercial Auto,Welding,
170473,CAAdditionalNamedInsuredDetails,QQ5870710000,NJ,Hadley,47:26.8,Commercial Auto,Welding,
170472,CAAdditionalNamedInsuredDetails,QQ5870710000,CT,Hadley,47:03.4,Commercial Auto,Welding,
170471,CAAdditionalNamedInsuredDetails,QQ5870710000,NY,Hadley,46:48.2,Commercial Auto,Welding,
170436,AdditionalNamedInsuredDetails,QQ5575210000,PA,Kylie,14:28.6,Businessowners,Locksmith,
170435,AdditionalNamedInsuredDetails,QQ5575210000,PA,Kylie,14:24.6,Businessowners,Locksmith,
170434,AdditionalNamedInsuredDetails,QQ5575210000,PA,Kylie,14:24.1,Businessowners,Locksmith,
170433,AdditionalNamedInsuredDetails,QQ5575210000,PA,Kylie,14:16.1,Businessowners,Locksmith,
170432,AdditionalNamedInsuredDetails,QQ5575210000,NY,Kylie,13:41.3,Businessowners,Locksmith,
170379,CAAdditionalNamedInsuredDetails,QQ8327110000,DE,Alyssa,07:18.8,Commercial Auto,Plumbers,
170378,CAAdditionalNamedInsuredDetails,QQ8327110000,DE,Alyssa,07:17.8,Commercial Auto,Plumbers,
170377,CAAdditionalNamedInsuredDetails,QQ8327110000,DE,Alyssa,07:17.5,Commercial Auto,Plumbers,
170376,CAAdditionalNamedInsuredDetails,QQ8327110000,DE,Alyssa,07:14.2,Commercial Auto,Plumbers,
170365,Mortgagee,QQ5491610000,NJ,Khloe,02:29.8,Businessowners,Farm Corportation,
170364,Mortgagee,QQ5491610000,NJ,Khloe,02:27.9,Businessowners,Farm Corportation,
170363,Mortgagee,QQ5491610000,NJ,Khloe,02:09.1,Businessowners,Farm Corportation,
170362,Mortgagee,QQ5491610000,NJ,Khloe,02:08.3,Businessowners,Farm Corportation,
170361,Mortgagee,QQ5491610000,NJ,Khloe,01:54.4,Businessowners,Farm Corportation,
170360,Mortgagee,QQ5491610000,DE,Khloe,01:54.0,Businessowners,Farm Corportation,
170359,Mortgagee,QQ5491610000,PA,Khloe,01:53.6,Businessowners,Farm Corportation,
170358,Mortgagee,QQ5491610000,OH,Khloe,01:52.9,Businessowners,Farm Corportation,
170329,AdditionalNamedInsuredDetails,QQ5491610000,OH,Khloe,59:24.6,Businessowners,Farm Corportation,
170328,AdditionalNamedInsuredDetails,QQ5491610000,OH,Khloe,59:22.9,Businessowners,Farm Corportation,
170327,AdditionalNamedInsuredDetails,QQ5491610000,OH,Khloe,59:15.9,Businessowners,Farm Corportation,
170315,Mortgagee,QQ1604310000,CT,Ayla,38:46.2,Businessowners,Farm Corportation,
170314,Mortgagee,QQ1604310000,CT,Ayla,38:44.5,Businessowners,Farm Corportation,
170313,Mortgagee,QQ1604310000,CT,Ayla,38:29.3,Businessowners,Farm Corportation,
170286,AdditionalNamedInsuredDetails,QQ1604310000,DE,Ayla,35:12.6,Businessowners,Farm Corportation,
170285,AdditionalNamedInsuredDetails,QQ1604310000,DE,Ayla,34:38.1,Businessowners,Farm Corportation,
170272,Mortgagee,QQ2074410000,PA,Adam,55:00.4,Businessowners,Construction,
170271,Mortgagee,QQ2074410000,PA,Adam,54:56.6,Businessowners,Construction,
170270,Mortgagee,QQ2074410000,PA,Adam,54:52.6,Businessowners,Construction,
170269,Mortgagee,QQ2074410000,PA,Adam,54:51.7,Businessowners,Construction,
170268,Mortgagee,QQ2074410000,PA,Adam,54:45.9,Businessowners,Construction,
170230,AdditionalNamedInsuredDetails,QQ2074410000,PA,Adam,51:37.0,Businessowners,Construction,
170229,AdditionalNamedInsuredDetails,QQ2074410000,PA,Adam,51:36.2,Businessowners,Construction,
170228,AdditionalNamedInsuredDetails,QQ2074410000,PA,Adam,51:29.7,Businessowners,Construction,
170172,CAAdditionalNamedInsuredDetails,QQ2800110000,NJ,Joseph,20:39.3,Commercial Auto,Carpenters,
170171,CAAdditionalNamedInsuredDetails,QQ2800110000,NJ,Joseph,20:38.9,Commercial Auto,Carpenters,
170170,CAAdditionalNamedInsuredDetails,QQ2800110000,NJ,Joseph,20:35.4,Commercial Auto,Carpenters,
170169,CAAdditionalNamedInsuredDetails,QQ2800110000,NY,Joseph,20:07.8,Commercial Auto,Carpenters,
170142,CAAdditionalNamedInsuredDetails,QQ4777810000,NJ,Koltong,17:41.5,Commercial Auto,Carpet Cleaning Services,
170141,CAAdditionalNamedInsuredDetails,QQ4777810000,NJ,Koltong,17:40.9,Commercial Auto,Carpet Cleaning Services,
170140,CAAdditionalNamedInsuredDetails,QQ4777810000,NJ,Koltong,17:39.7,Commercial Auto,Carpet Cleaning Services,
170139,CAAdditionalNamedInsuredDetails,QQ4777810000,NY,Koltong,17:12.5,Commercial Auto,Carpet Cleaning Services,
170121,CAAdditionalNamedInsuredDetails,QQ3617410000,NY,Patricia,15:04.5,Commercial Auto,Equipment Sale,
170120,CAAdditionalNamedInsuredDetails,QQ3617410000,NY,Patricia,15:03.8,Commercial Auto,Equipment Sale,
170119,CAAdditionalNamedInsuredDetails,QQ3617410000,NY,Patricia,14:35.5,Commercial Auto,Equipment Sale,
170106,CAAdditionalNamedInsuredDetails,QQ1901710000,NJ,Liam,11:00.8,Commercial Auto,Equipment Sale,
170105,CAAdditionalNamedInsuredDetails,QQ1901710000,NJ,Liam,11:00.2,Commercial Auto,Equipment Sale,
170104,CAAdditionalNamedInsuredDetails,QQ1901710000,NJ,Liam,10:58.7,Commercial Auto,Equipment Sale,
170103,CAAdditionalNamedInsuredDetails,QQ1901710000,NY,Liam,10:22.6,Commercial Auto,Equipment Sale,
170090,CAAdditionalNamedInsuredDetails,QQ279410000,OH,Logan,06:52.3,Commercial Auto,Baked Goods,
170089,CAAdditionalNamedInsuredDetails,QQ279410000,NY,Logan,04:51.6,Commercial Auto,Baked Goods,
169991,CAAdditionalNamedInsuredDetails,QQ4131610000,OH,Kelvin,28:35.5,Commercial Auto,Carpet Cleaning Services,
169989,CAAdditionalNamedInsuredDetails,QQ4131610000,NY,Kelvin,28:06.2,Commercial Auto,Carpet Cleaning Services,
169962,Mortgagee,QQ5260710000,OH,Kelvin,18:40.4,Businessowners,Carpet Cleaning Services,
169961,Mortgagee,QQ5260710000,OH,Kelvin,18:38.8,Businessowners,Carpet Cleaning Services,
169960,Mortgagee,QQ5260710000,OH,Kelvin,18:37.0,Businessowners,Carpet Cleaning Services,
169959,Mortgagee,QQ5260710000,OH,Kelvin,18:33.0,Businessowners,Carpet Cleaning Services,
169909,AdditionalNamedInsuredDetails,QQ5260710000,NY,Kelvin,13:48.8,Businessowners,Carpet Cleaning Services,
169904,AdditionalNamedInsuredDetails,QQ5260710000,NY,Kelvin,13:19.1,Businessowners,Carpet Cleaning Services,
169875,AdditionalNamedInsuredDetails,QQ7614110000,OH,Helen,10:50.2,Businessowners,Construction,
169874,AdditionalNamedInsuredDetails,QQ7614110000,OH,Helen,10:49.6,Businessowners,Construction,
169873,AdditionalNamedInsuredDetails,QQ7614110000,OH,Helen,10:44.3,Businessowners,Construction,
169872,AdditionalNamedInsuredDetails,QQ7614110000,NY,Helen,10:02.9,Businessowners,Construction,
169843,AdditionalNamedInsuredDetails,QQ4006810000,OH,Hunter,07:22.7,Businessowners,Comedy Troupes,
169842,AdditionalNamedInsuredDetails,QQ4006810000,OH,Hunter,07:21.7,Businessowners,Comedy Troupes,
169839,AdditionalNamedInsuredDetails,QQ4006810000,NY,Hunter,06:46.4,Businessowners,Comedy Troupes,
169769,CAAdditionalNamedInsuredDetails,QQ6498410000,NY,Kolton,58:24.6,Commercial Auto,Carpenters,
169768,CAAdditionalNamedInsuredDetails,QQ6498410000,NY,Kolton,58:24.2,Commercial Auto,Carpenters,
169767,CAAdditionalNamedInsuredDetails,QQ6498410000,NY,Kolton,57:52.8,Commercial Auto,Carpenters,
169727,Mortgagee,QQ261910000,NY,Gabriel,49:41.0,Businessowners,null,
169726,Mortgagee,QQ261910000,NY,Gabriel,49:36.6,Businessowners,null,
169725,Mortgagee,QQ261910000,NY,Gabriel,49:34.3,Businessowners,null,
169724,Mortgagee,QQ261910000,NY,Gabriel,49:35.1,Businessowners,null,
169692,AdditionalNamedInsuredDetails,QQ5622110000,NY,Kolton,47:26.9,Businessowners,Equipment Sale,
169691,AdditionalNamedInsuredDetails,QQ5622110000,NY,Kolton,47:26.5,Businessowners,Equipment Sale,
169684,AdditionalNamedInsuredDetails,QQ5622110000,NY,Kolton,47:01.4,Businessowners,Equipment Sale,
169682,Mortgagee,QQ5933410000,DE,Candice,47:02.2,Businessowners,Welding,
169680,Mortgagee,QQ5933410000,DE,Candice,46:53.9,Businessowners,Welding,
169679,Mortgagee,QQ5933410000,DE,Candice,46:52.2,Businessowners,Welding,
169678,Mortgagee,QQ5933410000,DE,Candice,46:52.2,Businessowners,Welding,
169633,AdditionalNamedInsuredDetails,QQ261910000,NJ,Gabriel,44:25.2,Businessowners,Carpenters,
169632,AdditionalNamedInsuredDetails,QQ261910000,NJ,Gabriel,44:24.2,Businessowners,Carpenters,
169626,AdditionalNamedInsuredDetails,QQ261910000,NY,Gabriel,43:50.6,Businessowners,Carpenters,
169620,Mortgagee,QQ6819910000,NY,Hunter,24:36.6,Businessowners,Carpenters,
169619,Mortgagee,QQ6819910000,NY,Hunter,24:35.5,Businessowners,Carpenters,
169592,AdditionalNamedInsuredDetails,QQ6819910000,NY,Hunter,20:11.2,Businessowners,Carpenters,
169591,AdditionalNamedInsuredDetails,QQ6819910000,NY,Hunter,19:41.1,Businessowners,Carpenters,
169563,AdditionalNamedInsuredDetails,QQ1859210000,OH,Olivia,53:07.1,Businessowners,Equipment Dealers,
169562,AdditionalNamedInsuredDetails,QQ1859210000,OH,Olivia,53:04.1,Businessowners,Equipment Dealers,
169561,AdditionalNamedInsuredDetails,QQ1859210000,OH,Olivia,53:00.3,Businessowners,Equipment Dealers,
169560,AdditionalNamedInsuredDetails,QQ1859210000,NY,Olivia,52:33.3,Businessowners,Equipment Dealers,
169554,AdditionalNamedInsuredDetails,QQ2506610000,NY,Derek,50:12.0,Businessowners,Liquor,
169544,Mortgagee,QQ5206010000,DE,Richie,48:35.4,Businessowners,Liquor,
169543,Mortgagee,QQ5206010000,DE,Richie,48:33.6,Businessowners,Liquor,
169542,Mortgagee,QQ5206010000,DE,Richie,48:32.5,Businessowners,Liquor,
169541,Mortgagee,QQ5206010000,DE,Richie,48:32.5,Businessowners,Liquor,
169504,Mortgagee,QQ4432410000,DE,Harold,30:16.5,Businessowners,Construction,
169468,Mortgagee,QQ5392710000,OH,Logan,27:56.9,Businessowners,null,
169466,Mortgagee,QQ5392710000,OH,Logan,27:47.2,Businessowners,null,
169465,Mortgagee,QQ5392710000,OH,Logan,27:44.3,Businessowners,null,
169464,Mortgagee,QQ5392710000,OH,Logan,27:43.5,Businessowners,null,
169463,Mortgagee,QQ5392710000,OH,Logan,27:41.8,Businessowners,null,
169447,CAAdditionalNamedInsuredDetails,QQ3237110000,OH,Joseph,25:49.0,Commercial Auto,Equipment Dealers,
169446,CAAdditionalNamedInsuredDetails,QQ3237110000,OH,Joseph,25:48.4,Commercial Auto,Equipment Dealers,
169445,CAAdditionalNamedInsuredDetails,QQ3237110000,OH,Joseph,25:46.5,Commercial Auto,Equipment Dealers,
169440,CAAdditionalNamedInsuredDetails,QQ3237110000,NY,Joseph,25:18.6,Commercial Auto,Equipment Dealers,
169371,AdditionalNamedInsuredDetails,QQ5392710000,NJ,Logan,17:34.5,Businessowners,Carpet Cleaning Services,
169370,AdditionalNamedInsuredDetails,QQ5392710000,NJ,Logan,17:34.0,Businessowners,Carpet Cleaning Services,
169369,AdditionalNamedInsuredDetails,QQ5392710000,NJ,Logan,17:27.9,Businessowners,Carpet Cleaning Services,
169367,AdditionalNamedInsuredDetails,QQ5392710000,NY,Logan,17:01.6,Businessowners,Carpet Cleaning Services,
169268,Mortgagee,QQ2690710000,NY,Haley,07:56.8,Businessowners,null,
169267,Mortgagee,QQ2690710000,NY,Haley,07:54.7,Businessowners,null,
169266,Mortgagee,QQ2690710000,NY,Haley,07:51.7,Businessowners,null,
169265,Mortgagee,QQ2690710000,NY,Haley,07:50.6,Businessowners,null,
169255,Mortgagee,QQ7363910000,NY,jass,06:53.9,Businessowners,Locksmith,
169253,Mortgagee,QQ7363910000,NY,jass,06:46.6,Businessowners,Locksmith,
169185,CAAdditionalNamedInsuredDetails,QQ3230010000,PA,George,00:35.3,Commercial Auto,Carpet Cleaning Services,
169167,AdditionalNamedInsuredDetails,QQ2690710000,PA,Haley,46:28.6,Businessowners,Carpenters,
169166,AdditionalNamedInsuredDetails,QQ2690710000,PA,Haley,46:28.1,Businessowners,Carpenters,
169165,AdditionalNamedInsuredDetails,QQ2690710000,PA,Haley,46:25.7,Businessowners,Carpenters,
169164,AdditionalNamedInsuredDetails,QQ2690710000,NY,Haley,45:53.0,Businessowners,Carpenters,
169147,AdditionalNamedInsuredDetails,QQ7198110000,PA,Jonathan,40:38.8,Businessowners,Electric Motor Repair,
169146,AdditionalNamedInsuredDetails,QQ7198110000,PA,Jonathan,40:38.1,Businessowners,Electric Motor Repair,
169145,AdditionalNamedInsuredDetails,QQ7198110000,PA,Jonathan,40:35.9,Businessowners,Electric Motor Repair,
169144,AdditionalNamedInsuredDetails,QQ7198110000,NY,Jonathan,39:32.2,Businessowners,Electric Motor Repair,
169133,Mortgagee,QQ590710000,PN,Robert,24:22.9,Businessowners,Plumbing Fixture installation,
169132,Mortgagee,QQ590710000,PN,Robert,24:20.3,Businessowners,Plumbing Fixture installation,
169131,Mortgagee,QQ590710000,PN,Robert,24:17.1,Businessowners,Plumbing Fixture installation,
169130,Mortgagee,QQ590710000,PN,Robert,24:15.7,Businessowners,Plumbing Fixture installation,
169129,Mortgagee,QQ590710000,PN,Robert,24:11.6,Businessowners,Plumbing Fixture installation,
169097,AdditionalNamedInsuredDetails,QQ590710000,PN,Robert,21:06.5,Businessowners,Plumbing Fixture installation,
169096,AdditionalNamedInsuredDetails,QQ590710000,PN,Robert,21:05.7,Businessowners,Plumbing Fixture installation,
169095,AdditionalNamedInsuredDetails,QQ590710000,PN,Robert,20:46.4,Businessowners,Plumbing Fixture installation,
169094,AdditionalNamedInsuredDetails,QQ590710000,NY,Robert,19:59.1,Businessowners,Plumbing Fixture installation,
169082,Mortgagee,QQ2775710000,NY,Rajkumar,24:25.3,Businessowners,Petals Florist,
169081,Mortgagee,QQ2775710000,NY,Rajkumar,24:22.7,Businessowners,Petals Florist,
169052,AdditionalNamedInsuredDetails,QQ2775710000,NY,Rajkumar,17:31.3,Businessowners,Petals Florist,
169040,Mortgagee,QQ2157810000,NY,Kumar,08:16.3,Businessowners,Plumbers,
169039,Mortgagee,QQ2157810000,NY,Kumar,08:14.0,Businessowners,Plumbers,
169019,AdditionalNamedInsuredDetails,QQ2157810000,NY,Kumar,05:13.2,Businessowners,Plumbers,
169008,Mortgagee,QQ3584210000,NY,Raja,52:01.9,Businessowners,Construction,
169007,Mortgagee,QQ3584210000,NY,Raja,51:58.7,Businessowners,Construction,
168985,AdditionalNamedInsuredDetails,QQ3584210000,NY,Raja,44:22.7,Businessowners,Construction,
168972,Mortgagee,QQ2065510000,PN,Kolton,11:02.9,Businessowners,Equipment Sale,
168933,CAAdditionalNamedInsuredDetails,QQ8366210000,PN,Kolton,05:06.3,Commercial Auto,Carpet Cleaning Services,
168932,CAAdditionalNamedInsuredDetails,QQ8366210000,NY,Kolton,04:57.9,Commercial Auto,Carpet Cleaning Services,
168926,AdditionalNamedInsuredDetails,QQ2065510000,NY,Kolton,03:13.3,Businessowners,Equipment Sale,
168917,AdditionalNamedInsuredDetails,QQ719410000,OH,Elizebeth,21:29.4,Businessowners,Equipment Sale,
168916,AdditionalNamedInsuredDetails,QQ719410000,NY,Elizebeth,21:13.8,Businessowners,Equipment Sale,
168884,AdditionalNamedInsuredDetails,QQ2848910000,CA,Kashton,02:38.9,Businessowners,Equipment Sale,
168883,AdditionalNamedInsuredDetails,QQ2848910000,CA,Kashton,02:38.2,Businessowners,Equipment Sale,
168882,AdditionalNamedInsuredDetails,QQ2848910000,CA,Kashton,02:15.2,Businessowners,Equipment Sale,
168863,AdditionalNamedInsuredDetails,QQ2202110000,CA,Peter,59:05.7,Businessowners,Carpenters,
168857,Mortgagee,QQ4164610000,CA,Kylo,52:27.2,Businessowners,null,
168827,AdditionalNamedInsuredDetails,QQ4164610000,CA,Kylo,48:56.4,Businessowners,Carpenters,
168826,AdditionalNamedInsuredDetails,QQ4164610000,CA,Kylo,48:57.0,Businessowners,Carpenters,
168825,AdditionalNamedInsuredDetails,QQ4164610000,CA,Kylo,48:33.5,Businessowners,Carpenters,
168790,AdditionalNamedInsuredDetails,QQ1800510000,EC,Haleik,42:29.0,Businessowners,Construction,
168789,AdditionalNamedInsuredDetails,QQ1800510000,EC,Haleik,42:29.6,Businessowners,Construction,
168788,AdditionalNamedInsuredDetails,QQ1800510000,EC,Haleik,42:28.1,Businessowners,Construction,
168786,AdditionalNamedInsuredDetails,QQ1800510000,CA,Haleik,42:05.3,Businessowners,Construction,
168771,Mortgagee,QQ1150310000,NB,Warren,41:06.0,Businessowners,Construction,
168750,AdditionalNamedInsuredDetails,QQ3403410000,CA,Logan,39:44.1,Businessowners,Equipment Sale,
168733,AdditionalNamedInsuredDetails,QQ3363410000,NB,Haleik,34:39.1,Businessowners,Carpenters,
168732,AdditionalNamedInsuredDetails,QQ3363410000,NB,Haleik,34:38.0,Businessowners,Carpenters,
168731,AdditionalNamedInsuredDetails,QQ3363410000,CA,Haleik,34:19.2,Businessowners,Carpenters,
168712,AdditionalNamedInsuredDetails,QQ1460310000,NB,Kolton,31:36.4,Businessowners,Carpenters,
168711,AdditionalNamedInsuredDetails,QQ1460310000,NB,Kolton,31:36.8,Businessowners,Carpenters,
168710,AdditionalNamedInsuredDetails,QQ1460310000,NB,Kolton,31:35.2,Businessowners,Carpenters,
168709,AdditionalNamedInsuredDetails,QQ1460310000,CA,Kolton,31:12.1,Businessowners,Carpenters,
168702,Mortgagee,QQ4796410000,CA,James,29:40.3,Businessowners,null,
168701,Mortgagee,QQ4796410000,CA,James,29:38.2,Businessowners,null,
168700,Mortgagee,QQ4796410000,CA,James,29:35.8,Businessowners,null,
168695,Mortgagee,QQ5801410000,CA,Franko,28:38.2,Businessowners,null,
168694,Mortgagee,QQ5801410000,CA,Franko,28:35.8,Businessowners,null,
168693,Mortgagee,QQ5801410000,CA,Franko,28:31.5,Businessowners,null,
168646,Mortgagee,QQ1150310000,NB,Warren,24:39.3,Businessowners,Construction,
168635,AdditionalNamedInsuredDetails,QQ4796410000,NB,James,24:13.4,Businessowners,Equipment Sale,
168634,AdditionalNamedInsuredDetails,QQ4796410000,NB,James,24:13.0,Businessowners,Equipment Sale,
168633,AdditionalNamedInsuredDetails,QQ4796410000,NB,James,24:12.0,Businessowners,Equipment Sale,
168629,AdditionalNamedInsuredDetails,QQ4796410000,CA,James,23:48.3,Businessowners,Equipment Sale,
168596,AdditionalNamedInsuredDetails,QQ5801410000,NB,Franko,21:57.9,Businessowners,Equipment Dealers,
168595,AdditionalNamedInsuredDetails,QQ5801410000,NB,Franko,21:58.3,Businessowners,Equipment Dealers,
168594,AdditionalNamedInsuredDetails,QQ5801410000,NB,Franko,21:56.8,Businessowners,Equipment Dealers,
168588,AdditionalNamedInsuredDetails,QQ5801410000,CA,Franko,20:43.0,Businessowners,Equipment Dealers,
168563,Mortgagee,QQ7634410000,NB,Derek,18:34.4,Businessowners,Plumbers,
168550,Mortgagee,QQ7634410000,NB,Derek,15:35.0,Businessowners,Plumbers,
168531,Mortgagee,QQ7665410000,CA,Dylan ,00:07.2,Businessowners,Equipment Sale,
168513,AdditionalNamedInsuredDetails,QQ4121510000,NB,Andrew,58:20.4,Businessowners,Equipment Sale,
168512,AdditionalNamedInsuredDetails,QQ4121510000,NB,Andrew,58:19.8,Businessowners,Equipment Sale,
168511,AdditionalNamedInsuredDetails,QQ4121510000,NB,Andrew,58:17.5,Businessowners,Equipment Sale,
168508,AdditionalNamedInsuredDetails,QQ4121510000,CA,Andrew,58:04.0,Businessowners,Equipment Sale,
168490,Mortgagee,QQ4863610000,CA,Kelvin,56:29.6,Businessowners,null,
168489,Mortgagee,QQ4863610000,CA,Kelvin,56:27.2,Businessowners,null,
168488,Mortgagee,QQ4863610000,CA,Kelvin,56:25.3,Businessowners,null,
168487,Mortgagee,QQ4863610000,CA,Kelvin,56:24.5,Businessowners,null,
168439,AdditionalNamedInsuredDetails,QQ4863610000,NB,Kelvin,39:56.1,Businessowners,Equipment Sale,
168438,AdditionalNamedInsuredDetails,QQ4863610000,NB,Kelvin,39:55.5,Businessowners,Equipment Sale,
168437,AdditionalNamedInsuredDetails,QQ4863610000,NB,Kelvin,39:51.3,Businessowners,Equipment Sale,
168436,AdditionalNamedInsuredDetails,QQ4863610000,CA,Kelvin,39:32.7,Businessowners,Equipment Sale,
168422,AdditionalNamedInsuredDetails,QQ7665410000,CA,Dylan ,37:50.4,Businessowners,Equipment Sale,
168421,AdditionalNamedInsuredDetails,QQ7665410000,CA,Dylan ,36:52.2,Businessowners,Equipment Sale,
168420,AdditionalNamedInsuredDetails,QQ7665410000,NB,Dylan ,36:46.4,Businessowners,Equipment Sale,
168409,Mortgagee,QQ7307610000,CA,Jayden,35:22.4,Businessowners,Comedy Troupes,
168408,Mortgagee,QQ7307610000,CA,Jayden,35:19.2,Businessowners,Comedy Troupes,
168387,AdditionalNamedInsuredDetails,QQ7307610000,CA,Jayden,31:34.1,Businessowners,Comedy Troupes,
168376,AdditionalNamedInsuredDetails,QQ3255710000,NB,Andrew,31:02.9,Businessowners,Equipment Sale,
168375,AdditionalNamedInsuredDetails,QQ3255710000,NB,Andrew,31:02.1,Businessowners,Equipment Sale,
168374,AdditionalNamedInsuredDetails,QQ3255710000,NB,Andrew,31:01.2,Businessowners,Equipment Sale,
168373,AdditionalNamedInsuredDetails,QQ3255710000,CA,Andrew,30:36.6,Businessowners,Equipment Sale,
168354,Mortgagee,QQ1745810000,NB,Jack,29:19.5,Businessowners,Carpet Cleaning Services,
168353,Mortgagee,QQ1745810000,NB,Jack,29:17.4,Businessowners,Carpet Cleaning Services,
168352,Mortgagee,QQ1745810000,NB,Jack,29:16.2,Businessowners,Carpet Cleaning Services,
168344,Mortgagee,QQ1325510000,CA,James,28:44.1,Businessowners,Equipment Dealers,
168342,Mortgagee,QQ1325510000,CA,James,28:42.2,Businessowners,Equipment Dealers,
168341,Mortgagee,QQ1325510000,CA,James,28:40.7,Businessowners,Equipment Dealers,
168331,Mortgagee,QQ3212710000,CA,Gabriel,28:11.1,Businessowners,null,
168322,Mortgagee,QQ3212710000,CA,Gabriel,25:57.3,Businessowners,null,
168321,Mortgagee,QQ3212710000,CA,Gabriel,25:58.8,Businessowners,null,
168320,Mortgagee,QQ3212710000,CA,Gabriel,25:56.6,Businessowners,null,
168246,AdditionalNamedInsuredDetails,QQ3212710000,CA,Gabriel,05:29.2,Businessowners,Carpet Cleaning Services,
168225,AdditionalNamedInsuredDetails,QQ1325510000,CA,James,01:27.6,Businessowners,Equipment Dealers,
168224,AdditionalNamedInsuredDetails,QQ1325510000,CA,James,01:26.8,Businessowners,Equipment Dealers,
168223,AdditionalNamedInsuredDetails,QQ1325510000,CA,James,01:04.1,Businessowners,Equipment Dealers,
168207,Mortgagee,QQ4072210000,NB,Jack,14:32.2,Businessowners,Equipment Sale,
168206,Mortgagee,QQ4072210000,NB,Jack,14:30.8,Businessowners,Equipment Sale,
168189,Mortgagee,QQ4072210000,NB,Jack,13:27.0,Businessowners,Equipment Sale,
168186,AdditionalNamedInsuredDetails,QQ4072210000,CA,Jack,13:23.4,Businessowners,Equipment Sale,
168174,Mortgagee,QQ7355210000,NB,Olivia,06:06.3,Businessowners,Welding,
